Name,Code,RegDate,LastClose,Pivot,Bottom,LastIntStart,LastIntEnd,LastIntPeriod,T,Breakout,BreakoutDate,NewInterval
동원산업,006040,2025-03-10,36000,36450,35700,2025-03-07,2025-03-10,4,4,False,,False
동원산업,006040,2025-03-11,35650,36450,35200,2025-03-07,2025-03-11,5,4,False,,False
동원산업,006040,2025-03-12,35750,36450,35200,2025-03-07,2025-03-12,6,4,False,,False
동원산업,006040,2025-03-18,36400,36500,35550,2025-03-17,2025-03-18,2,5,False,,False
동원산업,006040,2025-03-19,36650,36700,35550,2025-03-17,2025-03-19,3,5,False,,False
두산에너빌리티,034020,2025-02-14,27600,24650,24050,2025-02-13,2025-02-13,1,3,True,2025-02-14,False
메리츠금융지주,138040,2025-03-26,119600,119200,117300,2025-03-25,2025-03-26,2,3,False,,False
메리츠금융지주,138040,2025-03-27,122800,123900,118800,2025-03-27,2025-03-27,1,4,False,,True
메리츠금융지주,138040,2025-03-28,123000,123900,117300,2025-03-25,2025-03-28,4,3,False,,False
바이오플러스,099430,2025-02-14,7140,7050,6810,2025-02-13,2025-02-13,1,3,True,2025-02-14,False
바이오플러스,099430,2025-02-20,6770,7050,6670,2025-02-19,2025-02-20,2,3,False,,False
바이오플러스,099430,2025-02-24,6750,7050,6670,2025-02-19,2025-02-24,6,3,False,,False
바이오플러스,099430,2025-03-18,7520,7320,7120,2025-03-17,2025-03-17,1,4,True,2025-03-18,False
바이오플러스,099430,2025-03-24,7010,7220,7000,2025-03-21,2025-03-24,4,4,False,,False
바이오플러스,099430,2025-03-25,7020,7250,7000,2025-03-21,2025-03-25,5,4,False,,False
바이오플러스,099430,2025-03-26,7160,7250,6920,2025-03-21,2025-03-26,6,4,False,,False
안랩,053800,2025-02-06,75000,75200,73100,2025-02-05,2025-02-06,2,4,False,,False
안랩,053800,2025-02-07,72800,76200,72800,2025-02-05,2025-02-07,3,4,False,,False
안랩,053800,2025-02-14,75700,76200,73200,2025-02-14,2025-02-14,1,5,False,,True
안랩,053800,2025-02-20,78400,79100,76400,2025-02-19,2025-02-20,2,6,False,,False
안랩,053800,2025-02-21,78300,79800,76400,2025-02-19,2025-02-21,3,5,False,,False
안랩,053800,2025-02-24,77400,79800,76400,2025-02-19,2025-02-24,6,5,False,,False
안랩,053800,2025-02-25,78600,80200,76400,2025-02-19,2025-02-25,7,5,False,,False
안랩,053800,2025-02-26,76400,80200,76400,2025-02-19,2025-02-26,8,5,False,,False
안랩,053800,2025-02-27,76400,80200,75400,2025-02-19,2025-02-27,9,5,False,,False
안랩,053800,2025-03-05,76400,76000,72900,2025-03-04,2025-03-05,2,4,False,,False
안랩,053800,2025-03-06,78800,79300,76300,2025-03-06,2025-03-06,1,5,False,,True
안랩,053800,2025-03-17,78600,78600,74000,2025-03-17,2025-03-17,1,4,False,,True
안랩,053800,2025-03-19,77600,79900,76800,2025-03-18,2025-03-19,2,5,False,,False
안랩,053800,2025-03-20,76800,79900,76800,2025-03-18,2025-03-20,3,5,False,,False
안랩,053800,2025-03-21,80000,79900,75800,2025-03-18,2025-03-20,3,5,True,2025-03-21,False
안랩,053800,2025-03-25,81200,82200,79200,2025-03-24,2025-03-25,2,6,False,,False
안랩,053800,2025-03-26,80500,82200,79200,2025-03-24,2025-03-26,3,6,False,,False
안랩,053800,2025-03-27,80500,83300,79200,2025-03-24,2025-03-27,4,6,False,,False
안랩,053800,2025-03-28,80100,83300,79200,2025-03-24,2025-03-28,5,6,False,,False
영원무역,111770,2025-01-31,43950,44150,42100,2025-01-31,2025-01-31,1,3,False,,True
오리온,271560,2025-02-07,103200,105000,102400,2025-02-07,2025-02-07,1,3,False,,True
오리온,271560,2025-02-10,104500,105000,102400,2025-02-07,2025-02-10,4,4,False,,False
